cols from HT,Crosswalk to HT document,Use?,Question in Crunch,Category,Question,Short name,Include,Grouping Required,l1,l2,r1,r2,Col to show,Y-axis Label,Title,Results,Result notes
conspat,#N/A,,American pride -- People should work hard to move this country in a positive direction.,,People should work hard to move this country in a positive direction.,conspat,Include,Yes,1,2,3,4,1,% Agree,People should work hard to move this country in a positive direction.,,
blindnat2,#N/A,,American pride -- The world would be better if more people from other countries were like Americans.,,The world would be better if more people from other countries were like Americans.,blindnat2,Include,Yes,1,2,3,4,1,% Agree,The world would be better if more people from other countries were like Americans.,,
imm_media,imm_media,,Media coverage of immigrants,,Which do you agree with more? Most mainstream media are…,imm_media,Include,No,,,,,2,% accurate in their coverage of immigrants,Which do you agree with more? Most mainstream media are...biased in their coverage of immigrants vs accurate in their coverage of immigrants ,,
imm_censor_natl,imm_censor_natl,,Self-censorship - immigration,,Which do you agree with more? Today in America…,imm_censor_natl,Include,No,,,,,2,% there is pressure to think a certain way about immigration and immigrants,Which do you agree with more? Today in America… it is acceptable for me to express what I think about immigration and immigrants vs there is pressure to think a certain way about immigration and immigrants,,
imm_censor_self,imm_censor_self,,Self-censorship - in group immigration,,Which do you agree with more? When I’m with people who are like me…,imm_censor_self,Include,No,,,,,2,% there is pressure to speak a certain way about subjects like immigration and immigrants,Which do you agree with more? When I’m with people who are like me… it is acceptable for me to express myself about subjects like immigration and immigrants vs there is pressure to speak a certain way about subjects like immigration and immigrants,,
imm_impact,imm_impact,,Immigration overall impact,,Which do you agree with more?,imm_impact,Include,No,,,,,2,% America’s immigrant population is a burden on our country,Which do you agree with more America’s immigrant population is good for our country. vs America’s immigrant population is a burden on our country. ,,
imm_welfare,imm_welfare,,Welfare state,,Which do you agree with more?,imm_welfare,Include,No,,,,,2,"% Immigration is good for America, helping sectors of our economy to be more successful and competitive.","Which do you agree with more Immigration nowadays is bad for America, costing the welfare system and using resources that could be spent on Americans. vs Immigration is good for America, helping sectors of our economy to be more successful and competitive.",,
imm_shareinfo,imm_shareinfo,,Sanctuary cities: info sharing,,Which do you agree with more?,imm_shareinfo,Include,No,,,,,2,% Local police should only report undocumented immigrants to federal authorities if they have been convicted of serious crimes.,"Which do you agree with more? Local police should report every undocumented immigrant to federal authorities, even if they have committed no crimes. vs Local police should only report undocumented immigrants to federal authorities if they have been convicted of serious crimes.",,
imm_enforce,imm_enforce,,Sanctuary cities: enforcement,,Which do you agree with more?,imm_enforce,Include,No,,,,,2,% The federal government should be able to direct cities to enforce immigration laws.,Which do you agree with more? Mayors should be able to decide how to prioritize their resources to maintain community safety. vs The federal government should be able to direct cities to enforce immigration laws. ,,
imm_deport,imm_deport,,Sanctuary cities: deportation,,Which do you agree with more?,imm_deport,Include,No,,,,,1,% Any undocumented immigrant who commits a crime should be deported from the country.,Which do you agree with more? Any undocumented immigrant who commits a crime should be deported from the country. Vs Undocumented immigrants who commit crimes should face the same penalties as other residents and citizens. ,,
imm_tax,imm_tax,,Sanctuary cities: tax dollars,,Which do you agree with more?,imm_tax,Include,No,,,,,1,"% I want my taxes to go towards catching criminals, not undocumented immigrants.","Which do you agree with more? I want my taxes to go towards catching criminals, not undocumented immigrants. Vs I want my taxes to go towards catching and deporting undocumented immigrants, regardless of whether they have committed crimes.",,
imm_jobs,imm_jobs,,Undocumented impact on jobs,,Which do you agree with more?,imm_jobs,Include,No,,,,,2,% Undocumented immigrants take jobs away from American citizens.,Which do you agree with more Undocumented immigrants do jobs that most Americans wouldn’t do. Vs Undocumented immigrants take jobs away from American citizens.,,
imm_employers,imm_employers,,Employers responsibility jobs,,Which do you agree with more?,imm_employers,Include,No,,,,,2,% Employers should hire whomever they believe is most qualified.,Which do you agree with more? Employers should prioritize hiring US citizens over immigrants. Vs Employers should hire whomever they believe is most qualified.  ,,
wall_mex,wall_mex,,US should build border wall,,Do you agree or disagree with the following statement? The United States should build a wall along its border with Mexico. ,wall_mex,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,Do you agree or disagree with the following statement? The United States should build a wall along its border with Mexico.,,
imm_daca,imm_daca,,DACA,,Which do you agree with more?,imm_daca,Include,No,,,,,1,% Undocumented immigrants who arrived as children and grown up here should be protected from deportation and given the chance to earn citizenship,Which do you agree with more? Undocumented immigrants who arrived as children and grown up here should be protected from deportation and given the chance to earn citizenship. vs The government should be able to deport anyone living in America who doesn’t have a legal right to be here.,,
imm_citiz,#N/A,,Pathway to citizenship law,,Do you favor or oppose the following: Allowing illegal immigrants brought to the US as children to gain legal resident status if they join the military or go to college.,imm_citiz,Include,Yes,1,3,4,6,1,% Slightly-Strongly Favor,Do you favor or oppose the following: Allowing illegal immigrants brought to the US as children to gain legal resident status if they join the military or go to college.,,
refugee_respon,refugee_respon,,Refugee responsibility,,Which do you agree with more?,refugee_respon,Include,No,,,,,2,% Refugees are not America’s responsibility.,"Which do you agree with more? People should be able to take refuge in other countries, including America, to escape from war or persecution vs Refugees are not America’s responsibility.",,
refugee_dangerous,refugee_dangerous,,Refugees are dangerous,,Which do you agree with more?,refugee_dangerous,Include,No,,,,,2,% The government’s refugee screening process is not tough enough to keep out possible terrorists.,Which do you agree with more? The government’s refugee screening process works well to keep us safe. Vs The government’s refugee screening process is not tough enough to keep out possible terrorists. ,,
muslim_ban,muslim_ban,,Muslim ban,,Do you favor or oppose the following: Temporarily preventing people from some majority Muslim countries from entering the US,muslim_ban,Include,Yes,1,3,4,6,1,% Slightly-Strongly Favor,Do you favor or oppose the following: Temporarily preventing people from some majority Muslim countries from entering the US,,
share_4A_muslim,#N/A,,Share values - Muslims,,How much do each other the following groups share your values? Muslims,share_4A_muslim,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? Muslims,,
share_4A_refugee,#N/A,,Share values - Refugees,,How much do each other the following groups share your values? Refugees,share_4A_refugee,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? Refugees,,
share_4A_mexican,#N/A,,Share values - Mexicans,,How much do each other the following groups share your values? Mexicans,share_4A_mexican,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? Mexicans,,
share_4A_immigrant,#N/A,,Share values - Immigrants,,How much do each other the following groups share your values? Immigrants   ,share_4A_immigrant,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? Immigrants   ,,
share_4A_white,#N/A,,Share values - White Americans,,How much do each other the following groups share your values? White Americans ,share_4A_white,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? White Americans ,,
contrib_4A_muslim,#N/A,,Contribute - Muslims,,How much do each of the following groups contribute to society? Muslims,contrib_4A_muslim,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? Muslims,,
contrib_4A_refugee,#N/A,,Contribute - Refugees,,How much do each of the following groups contribute to society? Refugees,contrib_4A_refugee,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? Refugees,,
contrib_4A_mexican,#N/A,,Contribute - Mexicans,,How much do each of the following groups contribute to society? Mexicans,contrib_4A_mexican,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? Mexicans,,
contrib_4A_immigrant,#N/A,,Contribute - Immigrants,,How much do each of the following groups contribute to society? Immigrants   ,contrib_4A_immigrant,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? Immigrants   ,,
contrib_4A_white,#N/A,,Contribute - White Americans,,How much do each of the following groups contribute to society? White Americans ,contrib_4A_white,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? White Americans ,,
refugee_sponsor,refugee_sponsor,,Refugee sponsorship program,,Do you think America should consider introducing a refugee sponsorship program?,refugee_sponsor,Include,No,,,,,2,% No,Do you think America should consider introducing a refugee sponsorship program?,,
salience_race,salience_race,,Salience racism,,How often do you think about issues related to racism in the United States?,salience_race,Include,Yes,1,2,3,5,1,% At least weekly,How often do you think about issues related to racism in the United States?,,
frust_race,frust_race,,Frustration with Racism,,How much do issues related to racism make you feel frustrated?,frust_race,Include,Yes,1,3,4,6,2,% Frustrated,How much do issues related to racism make you feel frustrated?,,
severity_racism,severity_racism,,Severity racism,,"In your opinion, how serious are problems of racism in the United States today? ",severity_racism,Include,Yes,1,2,3,4,1,% Somewhat or Very Serious,"In your opinion, how serious are problems of racism in the United States today? ",,
pervasiveness_racism,pervasiveness_racism,,Pervasiveness racism,,"In your opinion, how common are acts of racism in the United States today? ",pervasiveness_racism,Include,Yes,1,2,3,4,1,% Somewhat or Very Common,"In your opinion, how common are acts of racism in the United States today? ",,
crime_media,crime_media,,Crime and media,,Which do you agree with more? Most mainstream media are…,crime_media,Include,No,,,,,1,% biased in their coverage of crime in inner cities,Which do you agree with more? Most mainstream media are… biased in their coverage of crime in inner cities vs accurate in their coverage of crime in inner cities ,,
shootings_media,shootings_media,,Shootings and media,,Which do you agree with more? Most mainstream media are…,shootings_media,Include,No,,,,,1,% biased in their coverage of police shootings,Which do you agree with more? Most mainstream media are… biased in their coverage of police shootings vs accurate in their coverage of police shootings ,,
race_censor_self,race_censor_self,,Self-censorship - racism,,Which do you agree with more? Today in America...,race_censor_self,Include,No,,,,,1,% it is acceptable for me to express myself about race and racism ,Which do you agree with more? Today in America…  it is acceptable for me to express myself about race and racism vs there is pressure to think a certain way about race and racism,,
race_express_self,race_express_self,,In group express - racism,,Which do you agree with more? When I’m with people who are like me...,race_express_self,Include,No,,,,,1,% it is acceptable for me to express myself about race and racism ,Which do you agree with more? When I’m with people who are like me… it is acceptable for me to express myself about race and racism vs there is pressure to think a certain way about race and racism,,
race_sensitivity,race_sensitivity,,Racism Sensitivity,,Which do you agree with more?  ,race_sensitivity,Include,No,,,,,1,% Many people nowadays don’t take racism seriously enough,Which do you agree with more? Many people nowadays don’t take racism seriously enough vs Many people nowadays are too sensitive about things to do with race,,
confederacy,confederacy,,Confederate monuments,,Which do you agree with more?  Confederate Civil War monuments are...,confederacy,Include,No,,,,,1,% symbols of Southern pride,Which do you agree with more?  Confederate Civil War monuments are… symbols of Southern pride vs symbols of racism,,
white_priv,white_priv,,Which privilege,,Which do you agree with more?  ,white_priv,Include,No,,,,,1,% Nowadays white people do not have any real advantages over others,Which do you agree with more? Nowadays white people do not have any real advantages over others vs Many white people today don’t recognize the real advantages they have ,,
police_brut,police-brut,,Police brutality,,Which do you agree with more?  ,police_brut,Include,No,,,,,1,% The police are often more violent towards African Americans than others,Which do you agree with more?  The police are often more violent towards African Americans than others vs The police are mostly fair towards people of every race  ,,
ath_protest,ath_protest,,Athlete protests,,Which do you agree with more?  ,ath_protest,Include,No,,,,,1,% Professional athletes should be required to stand during the national anthem at their games,Which do you agree with more?Professional athletes should be required to stand during the national anthem at their games vs Professional athletes should be able to kneel in an act of protest during the national anthem at their games,,
aff_act,aff_act,,Affirmative action,,Which do you agree with more?,aff_act,Include,No,,,,,1,% Race should not be a factor in the college admissions process,"Which do you agree with more?	Race should not be a factor in the college admissions process vs Race should be considered in the college admissions process ",,
blm,blm,,Black Lives Matter,,Which do you agree with more?  ,blm,Include,No,,,,,1,% Black Lives Matter has brought attention to important issues,Which do you agree with more?  Black Lives Matter has brought attention to important issues vs Black Lives Matter has made racial tensions worse   ,,
white_supr,white_supr,,White supremacy,,Which do you agree with more?  ,white_supr,Include,No,,,,,1,% White supremacists are a growing threat in the United States,Which do you agree with more? White supremacists are a growing threat in the United States vs White supremacists pose little danger in the United States  ,,
share_4B_white,#N/A,,Share Values 4B -- White Americans,,How much do each other the following groups share your values? White Americans ,share_4B_white,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? White Americans ,,
share_4B_black,#N/A,,Share Values 4B -- African Americans,,How much do each other the following groups share your values? African Americans,share_4B_black,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? African Americans,,
share_4B_hisp,#N/A,,Share Values 4B -- Hispanic Americans,,How much do each other the following groups share your values? Hispanic Americans,share_4B_hisp,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? Hispanic Americans,,
share_4B_asian,#N/A,,Share Values 4B -- Asian Americans,,How much do each other the following groups share your values? Asian Americans,share_4B_asian,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? Asian Americans,,
share_4B_blm,#N/A,,Share Values 4B -- Black Lives Matter activists,,How much do each other the following groups share your values? Black Lives Matter Activists,share_4B_blm,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? Black Lives Matter Activists,,
share_4B_police,#N/A,,Share Values 4B -- Police officers,,How much do each other the following groups share your values? Police Officers,share_4B_police,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? Police Officers,,
contrib_4B_white,#N/A,,Contribute 4B -- White Americans,,How much do each of the following groups contribute to society? White Americans ,contrib_4B_white,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? White Americans ,,
contrib_4B_black,#N/A,,Contribute 4B -- African Americans,,How much do each of the following groups contribute to society? African Americans,contrib_4B_black,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? African Americans,,
contrib_4B_hisp,#N/A,,Contribute 4B -- Hispanic Americans,,How much do each of the following groups contribute to society? Hispanic Americans,contrib_4B_hisp,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? Hispanic Americans,,
contrib_4B_asian,#N/A,,Contribute 4B -- Asian Americans,,How much do each of the following groups contribute to society? Asian Americans,contrib_4B_asian,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? Asian Americans,,
contrib_4B_blm,#N/A,,Contribute 4B -- Black Lives Matter activists,,How much do each of the following groups contribute to society? Black Lives Matter Activists,contrib_4B_blm,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? Black Lives Matter Activists,,
contrib_4B_police,#N/A,,Contribute 4B -- Police officers,,How much do each of the following groups contribute to society? Police Officers,contrib_4B_police,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? Police Officers,,
salience_sex,salience_sex,,Salience sexism,,How often do you think about issues related to sexism in the United States?,salience_sex,Include,Yes,1,2,3,5,1,% At least weekly,How often do you think about issues related to sexism in the United States?,,
severity_sex,severity_sex,,Severity sexism,,"In your opinion, how serious are problems of sexism in the United States today? ",severity_sex,Include,Yes,1,2,3,4,1,% Somewhat or Very Serious,"In your opinion, how serious are problems of sexism in the United States today? ",,
pervasiveness_sex,pervasiveness_sex,,Pervasiveness sexism,,"In your opinion, how common are acts of sexism in the United States today? ",pervasiveness_sex,Include,Yes,1,2,3,4,1,% Somewhat or Very Common,"In your opinion, how common are acts of sexism in the United States today? ",,
sexism_media_bias,sexism_media_bias,,Media biased sexism,,Which do you agree with more? Most mainstream media are…,sexism_media_bias,Include,No,,,,,1,% biased in their coverage of sexism,Which do you agree with more? Most mainstream media are… biased in their coverage of sexism vs accurate in their coverage of sexism,,
sex_assault_media_bias,sex_assault_media_bias,,Media biased sexual assault,,Which do you agree with more? Most mainstream media are…,sex_assault_media_bias,Include,No,,,,,1,% biased in their coverage of sexual assault,Which do you agree with more? Most mainstream media are… biased in their coverage of sexual assault vs accurate in their coverage of sexual assault,,
sex_censor_self,sex_censor_self,,Self-censorship - sexism,,Which do you agree with more? Today in America...,sex_censor_self,Include,No,,,,,1,"% it is acceptable for me to express myself about gay, lesbian, and gender issues","Which do you agree with more? Today in America…  it is acceptable for me to express myself about gay, lesbian, and gender issues vs there is pressure to think a certain way about gay, lesbian, and gender issues",,
sex_express_self,sex_express_self,,In group express - sexism,,Which do you agree with more? When I’m with people who are like me...,sex_express_self,Include,No,,,,,1,"% it is acceptable for me to express myself about gay, lesbian, and gender issues","Which do you agree with more? When I’m with people who are like me… it is acceptable for me to express myself about gay, lesbian, and gender issues vs there is pressure to think a certain way about gay, lesbian, and gender issues",,
sense_sex,sense_sex,,Sensitivity,,Which do you agree with more?  ,sense_sex,Include,No,,,,,1,% Many people nowadays don't take sexism and gender issues seriously enough ,Which do you agree with more?  Many people nowadays don't take sexism and gender issues seriously enough vs Many people nowadays are too sensitive about things to do with sex and gender,,
male_priv,male_priv,,Male privilege,,Which do you agree with more?  ,male_priv,Include,No,,,,,1,% Nowadays men do not have any real advantages over women in America,Which do you agree with more?  Nowadays men do not have any real advantages over women in America vs Many men today don't recognize the real advantages they have,,
gender_career,gender_career,,Gender Career,,Which do you agree with more?  ,gender_career,Include,No,,,,,1,% Having a successful career is generally harder for women,Which do you agree with more? Men and women mostly have the same chances at success vs Having a successful career is generally harder for women,,
wage,wage,,Wage gap,,Which do you agree with more?  ,wage,Include,No,,,,,1,% Women often get paid less than men just because of their gender.,Which do you agree with more? Women often get paid less than men because they have made different choices in their careers. vs Women often get paid less than men just because of their gender.,,
sex_assault,sex_assault,,Sexual assault,,Which do you agree with more?  ,sex_assault,Include,No,,,,,1,% Sexual assault is a widespread problem in American society,Which do you agree with more? The problem of sexual assault is exaggerated by many people vs Sexual assault is a widespread problem in American society,,
sex_harass,sex_harass,,Sexual harassment,,Which do you agree with more?  ,sex_harass,Include,No,,,,,1,% Sexual harassment is commonplace nowadays,"Which do you agree with more? Nowadays, too many ordinary behaviors are labelled as sexual harassment vs Sexual harassment is commonplace nowadays",,
feminism,feminism,,Feminism,,Which do you agree with more?  ,feminism,Include,No,,,,,1,% Today's feminists fight for important issues,Which do you agree with more? Today's feminists just attack men vs Today's feminists fight for important issues,,
gender_job,gender_job,,Gender roles,,Which do you agree with more?,gender_job,Include,No,,,,,1,"% When jobs are scarce, men should have more of a right to a job than a woman","When jobs are scarce, men should have more of a right to a job than a woman vs Having a job is the best way for a woman to be an independent person",,
trans1,trans1,,Transgender I,,Which do you agree with more?  ,trans1,Include,No,,,,,1,% Accepting transgender people is the moral thing to do,Accepting transgender people is the moral thing to do vs We have gone too far in accepting transgender people,,
trans2,trans2,,Transgender II,,Which do you agree with more?  ,trans2,Include,No,,,,,1,% People should be able to change their sex if they want to,People should be able to change their sex if they want to vs Your sex is a basic part of who you are; not a choice ,,
lgbt_marr,lgbt_marr,,LGBT marriage,,Which do you agree with more?,lgbt_marr,Include,No,,,,,1,% Same-sex marriage should be legal across the United States,Same-sex marriage should be legal across the United States vs Marriage should only be between a man and a woman,,
abortion,abortion,,Abortion,,Which do you agree with more?,abortion,Include,No,,,,,1,% An abortion is an act of violence against an unborn baby,An abortion is an act of violence against an unborn baby vs An abortion is a choice made by a woman about what to do with her body,,
sexuality,sexuality,,Sexuality,,Which do you agree with more? Changes in attitudes towards sex and sexuality…,sexuality,Include,No,,,,,1,% are making America more accepting and tolerant,are making America more accepting and tolerant vs are leading America to lose its moral foundation,,
family,family,,Views on marriage and sex,,Which do you agree with more? Changes in American views on marriage and sex…,family,Include,No,,,,,1,% are causing a decline in family values ,are causing a decline in family values vs show our progress,,
share_4C_women,#N/A,,Share Values 4C -- American women,,How much do each other the following groups share your values? American women,share_4C_women,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? American women,,
share_4C_men,#N/A,,Share Values 4C -- American men,,How much do each other the following groups share your values? American men,share_4C_men,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? American men,,
share_4C_fem,#N/A,,Share Values 4C -- Feminists,,How much do each other the following groups share your values? Feminists,share_4C_fem,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? Feminists,,
share_4C_lgbt,#N/A,,Share Values 4C -- Lesbian and gay people,,How much do each other the following groups share your values? Lesbian and gay people,share_4C_lgbt,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? Lesbian and gay people,,
share_4C_mom,#N/A,,Share Values 4C -- Single mothers,,How much do each other the following groups share your values? Single mothers,share_4C_mom,Include,Yes,1,2,3,4,2,% Share some or nearly all values,How much do each other the following groups share your values? Single mothers,,
contrib_4C_women,#N/A,,Contribute 4C -- American women,,How much do each of the following groups contribute to society? American women,contrib_4C_women,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? American women,,
contrib_4C_men,#N/A,,Contribute 4C -- American men,,How much do each of the following groups contribute to society? American men,contrib_4C_men,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? American men,,
contrib_4C_fem,#N/A,,Contribute 4C -- Feminists,,How much do each of the following groups contribute to society? Feminists,contrib_4C_fem,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? Feminists,,
contrib_4C_lgbt,#N/A,,Contribute 4C -- Lesbian and gay people,,How much do each of the following groups contribute to society? Lesbian and gay people,contrib_4C_lgbt,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? Lesbian and gay people,,
contrib_4C_mom,#N/A,,Contribute 4C -- Single mothers,,How much do each of the following groups contribute to society? Single mothers,contrib_4C_mom,Include,No,,,,,1,% Contribute less than other Americans to society,How much do each of the following groups contribute to society? Single mothers,,
salience_terror,salience_terror,,Salience terrorism,,How often do you think about terrorism in the United States?,salience_terror,Include,Yes,1,2,3,5,1,% At least weekly,How often do you think about terrorism in the United States?,,
frust_terror,frust_terror_scale,,Frustration with Terrorism,,How frustrating is the issue of terrorism to you personally?,frust_terror,Include,Yes,1,3,4,6,2,% Frustrated,How frustrating is the issue of terrorism to you personally?,,
severe_terror,severe_terror,,Severity terrorism,,"In your opinion, how serious are problems of terrorism in the United States today? ",severe_terror,Include,Yes,1,2,3,4,1,% Somewhat or Very Serious,"In your opinion, how serious are problems of terrorism in the United States today? ",,
common_terror,common_terror,,Pervasiveness terrorism,,"In your opinion, how common are acts of terrorism in the United States today? ",common_terror,Include,Yes,1,2,3,4,1,% Somewhat or Very Common,"In your opinion, how common are acts of terrorism in the United States today? ",,
muslim_media,muslim_media,,Media coverage Muslims,,Which do you agree with more? Most mainstream media are…,muslim_media,Include,No,,,,,1,% biased in their coverage of Muslims,Which do you agree with more? Most mainstream media are… biased in their coverage of Muslims vs accurate in their coverage of Muslims ,,
muslim_censor_natl,muslim_censor_natl,,Self-censorship - Muslims,,Which do you agree with more? Today in America...,muslim_censor_natl,Include,No,,,,,1,% it is acceptable for me to express myself about Islam and Muslims,Which do you agree with more? Today in America... it is acceptable for me to express myself about Islam and Muslims vs there is pressure to think a certain about Islam and Muslims,,
muslim_censor_self,muslim_censor_self,,Self-censorship - in group Muslims,,Which do you agree with more? When I’m with people who are like me...,muslim_censor_self,Include,No,,,,,1,% it is acceptable for me to express myself about Islam and Muslims,Which do you agree with more? When I’m with people who are like me... it is acceptable for me to express myself about Islam and Muslims vs there is pressure to think a certain about Islam and Muslims,,
terrorism,terrorism,,Terrorism,,Which do you agree with more?  ,terrorism,Include,No,,,,,1,% Many people nowadays don’t take terrorism seriously enough ,Which do you agree with more?   Many people nowadays don’t take terrorism seriously enough  vs Many people nowadays are too worried about terrorism ,,
islamophobia,islamophobia,,Islamophobia,,Which do you agree with more?  ,islamophobia,Include,No,,,,,1,% Many people nowadays don’t take discrimination against Muslims seriously enough ,Which do you agree with more?   Many people nowadays don’t take discrimination against Muslims seriously enough  vs Many people nowadays are too sensitive to how Muslims are treated,,
terror_relig,terror_relig,,Terrorism and religion,,Which do you agree with more?,terror_relig,Include,No,,,,,1,% Some religions teach violence and terrorism,Which do you agree with more? Some religions teach violence and terrorism vs Violent people use religion as a justification for their actions ,,
terror_extr,terror_extr,,Terrorism extremism,,Which do you agree with more?,terror_extr,Include,No,,,,,1,% There are extremists in every religion,Which do you agree with more? There are extremists in every religion vs Islam is more violent than other religions,,
loyal_muslim,loyal_muslim,,Loyalty of Muslims,,Which do you agree with more?,loyal_muslim,Include,No,,,,,1,% Muslim Americans can be as loyal to America as anyone else,Which do you agree with more? Muslim Americans can be as loyal to America as anyone else vs Muslim Americans can’t be good Muslims and love America ,,
terror_cause,terror_cause,,Terrorism cause,,Which do you agree with more?,terror_cause,Include,No,,,,,1,% Terrorists usually attack because their religion tells them to,Which do you agree with more? Terrorists usually attack because their religion tells them to vs Terrorists usually attack because they are angry or disturbed,,
prescription,prescription,,Prescription,,Which do you agree with more?,prescription,Include,No,,,,,1,% America needs more faith and religion ,Which do you agree with more? America needs more faith and religion  vs America needs more reason and science,,
multicult,multicult,,Multiculturalism,,Which do you agree with more?,multicult,Include,No,,,,,1,% People who hold different beliefs are probably just as moral as those who hold mine,Which do you agree with more? People who hold different beliefs are probably just as moral as those who hold mine vs I believe that my religion is the correct one,,
school_type,school_type,,Public vs. private,,Which do you agree with more?,school_type,Include,No,,,,,1,% All religions should be taught in our public schools equally,Which do you agree with more? All religions should be taught in our public schools equally vs Christianity should be taught in our public schools more than other religions,,
mass_shoot,mass_shoot,,Mass shootings,,Which do you agree with more? To stop mass shootings in America...,mass_shoot,Include,No,,,,,1,% we need to increase gun access for everyday people to protect themselves,Which do you agree with more? To stop mass shootings in America... we need to increase gun access for everyday people to protect themselves vs we need to make it harder for dangerous people to access guns ,,
city_shoot,city_shoot,,Inner city shootings,,Which do you agree with more? To stop shootings in America’s inner cities...,city_shoot,Include,No,,,,,1,% we need to change urban culture,Which do you agree with more? To stop shootings in America’s inner cities... we need to change urban culture vs we need to pass stricter gun laws,,
islam_att_1,islam_att_1,,Attitudes towards Islam -- Islam is a peaceful religion,,Do you agree or disagree with the following statements? -- Islam is a peaceful religion,islam_att_1,Include,Yes,1,3,4,6,2,% agree,Do you agree or disagree with the following statements? -- Islam is a peaceful religion,,
islam_att_2,islam_att_2,,Attitudes towards Islam -- Islam and American society are incompatible,,Do you agree or disagree with the following statements? -- Islam and American society are incompatible,islam_att_2,Include,Yes,1,3,4,6,2,% agree,Do you agree or disagree with the following statements? -- Islam and American society are incompatible,,
islam_att_3,islam_att_3,,Attitudes towards Islam -- Most Muslims hold similar values to me personally,,Do you agree or disagree with the following statements? -- Most Muslims hold similar values to me personally,islam_att_3,Include,Yes,1,3,4,6,2,% agree,Do you agree or disagree with the following statements? -- Most Muslims hold similar values to me personally,,
islam_att_4,islam_att_4,,Attitudes towards Islam -- Most Muslims in America would rather live under Sharia law than American law,,Do you agree or disagree with the following statements? -- Most Muslims in America would rather live under Sharia law than American law,islam_att_4,Include,Yes,1,3,4,6,2,% agree,Do you agree or disagree with the following statements? -- Most Muslims in America would rather live under Sharia law than American law,,
islam_att_5,islam_att_5,,Attitudes towards Islam -- I would not mind if a mosque were built near my home,,Do you agree or disagree with the following statements? -- I would not mind if a mosque were built near my home,islam_att_5,Include,Yes,1,3,4,6,2,% agree,Do you agree or disagree with the following statements? -- I would not mind if a mosque were built near my home,,
islam_att_6,islam_att_6,,Attitudes towards Islam -- Americans who criticize Islam are judged as ignorant or racist,,Do you agree or disagree with the following statements? -- Americans who criticize Islam are judged as ignorant or racist,islam_att_6,Include,Yes,1,3,4,6,2,% agree,Do you agree or disagree with the following statements? -- Americans who criticize Islam are judged as ignorant or racist,,
islam_att_7,islam_att_7,,Attitudes towards Islam -- Muslims are discriminated against in America,,Do you agree or disagree with the following statements? -- Muslims are discriminated against in America,islam_att_7,Include,Yes,1,3,4,6,2,% agree,Do you agree or disagree with the following statements? -- Muslims are discriminated against in America,,
islam_att_8,islam_att_8,,Attitudes towards Islam -- American people with concerns about Islam are discriminated against more than Muslims,,Do you agree or disagree with the following statements? -- American people with concerns about Islam are discriminated against more than Muslims,islam_att_8,Include,Yes,1,3,4,6,2,% agree,Do you agree or disagree with the following statements? -- American people with concerns about Islam are discriminated against more than Muslims,,
